student_id,programme,gpa_100,gpa_200,gpa_300,final_cgpa,low_performance,predicted_final_cgpa,low_performance_probability,trajectory_delta,risk_level,intervention_priority
NG-STU-0001,Chemical Engineering,3.765957446808511,3.6666666666666665,3.5106382978723403,3.85253456221198,0,3.7276825093879187,0.003879853301324807,-0.2553191489361706,LOW,ROUTINE
NG-STU-0002,Chemical Engineering,4.468085106382978,4.294117647058823,4.127659574468085,4.38248847926267,0,4.325227405117932,0.0015533172554838433,-0.3404255319148932,MODERATE,MONITOR
NG-STU-0003,Chemical Engineering,4.297872340425532,4.0588235294117645,4.127659574468085,4.26267281105991,0,4.234692327572549,0.0015533172554838433,-0.17021276595744705,LOW,ROUTINE
NG-STU-0004,Chemical Engineering,3.7872340425531914,3.1818181818181817,3.723404255319149,3.68325791855204,0,3.6717433307417298,0.006405639264987639,-0.06382978723404253,LOW,ROUTINE
NG-STU-0005,Chemical Engineering,4.191489361702128,4.2075471698113205,4.148936170212766,4.31506849315068,0,4.232063571383932,0.0015533172554838433,-0.042553191489361986,LOW,ROUTINE
NG-STU-0006,Chemical Engineering,4.191489361702128,3.5294117647058822,4.191489361702128,4.01382488479263,0,4.030748111758457,0.0015533172554838433,0.0,LOW,ROUTINE
NG-STU-0007,Chemical Engineering,3.872340425531915,2.2586206896551726,2.63265306122449,3.07,1,3.0062677255157606,0.8213673312412803,-1.239687364307425,CRITICAL,URGENT
NG-STU-0008,Chemical Engineering,3.893617021276596,2.45,2.7413793103448274,2.96734693877551,1,3.11626203593403,0.6059782120832562,-1.1522377109317685,HIGH,PRIORITY
NG-STU-0009,Chemical Engineering,4.127659574468085,3.5686274509803924,3.877551020408163,4.00456621004566,0,3.844461809436331,0.0015533172554838433,-0.25010855405992194,LOW,ROUTINE
NG-STU-0010,Chemical Engineering,4.617021276595745,4.352941176470588,4.574468085106383,4.49769585253456,0,4.531697744875846,0.0015533172554838433,-0.042553191489361986,LOW,ROUTINE
NG-STU-0011,Chemical Engineering,3.872340425531915,3.3333333333333335,3.765957446808511,3.84018264840183,0,3.736587673816425,0.0022018461859157567,-0.10638297872340408,LOW,ROUTINE
NG-STU-0012,Chemical Engineering,4.595744680851064,4.098039215686274,4.48936170212766,4.44239631336406,0,4.443663391789267,0.0015533172554838433,-0.10638297872340452,LOW,ROUTINE
NG-STU-0013,Chemical Engineering,3.5531914893617023,2.514705882352941,2.1578947368421053,2.78651685393258,1,2.7312988325200243,0.9727284106268448,-1.395296752519597,CRITICAL,URGENT
NG-STU-0014,Chemical Engineering,4.127659574468085,3.5283018867924527,3.106382978723404,3.61261261261261,0,3.597405314048652,0.008242482344842764,-1.021276595744681,MODERATE,MONITOR
NG-STU-0015,Chemical Engineering,3.8085106382978724,2.693548387096774,2.5172413793103448,3.11885245901639,0,2.9863100517406442,0.6340426917298397,-1.2912692589875276,CRITICAL,URGENT
NG-STU-0016,Chemical Engineering,4.638297872340425,3.7818181818181817,4.276595744680851,4.2579185520362,0,4.266102324153999,0.0015533172554838433,-0.36170212765957466,MODERATE,MONITOR
NG-STU-0017,Chemical Engineering,4.148936170212766,3.764705882352941,3.46,3.90454545454545,0,3.8096622492842718,0.0015533172554838433,-0.6889361702127657,MODERATE,MONITOR
NG-STU-0018,Chemical Engineering,4.361702127659575,4.627450980392157,3.7872340425531914,4.17972350230415,0,4.184113325855451,0.0015533172554838433,-0.5744680851063833,MODERATE,MONITOR
NG-STU-0019,Chemical Engineering,4.127659574468085,3.7735849056603774,4.042553191489362,4.15525114155251,0,4.010310517847339,0.0015533172554838433,-0.08510638297872308,LOW,ROUTINE
NG-STU-0020,Chemical Engineering,4.361702127659575,3.9622641509433962,4.042553191489362,4.20547945205479,0,4.171065273532407,0.0015533172554838433,-0.31914893617021267,MODERATE,MONITOR
NG-STU-0021,Chemical Engineering,4.319148936170213,3.9019607843137254,3.5319148936170213,4.01818181818182,0,3.9414333497533125,0.0015533172554838433,-0.7872340425531914,MODERATE,MONITOR
NG-STU-0022,Chemical Engineering,4.170212765957447,3.5098039215686274,4.0,4.03225806451613,0,3.9562859800249437,0.0015533172554838433,-0.17021276595744705,LOW,ROUTINE
NG-STU-0023,Chemical Engineering,3.7872340425531914,3.411764705882353,3.595744680851064,3.82727272727273,0,3.735515255659489,0.003879853301324807,-0.1914893617021276,LOW,ROUTINE
NG-STU-0024,Chemical Engineering,4.468085106382978,2.875,3.0714285714285716,3.39506172839506,0,3.3547629286057767,0.02522408900298398,-1.3966565349544067,MODERATE,MONITOR
NG-STU-0025,Chemical Engineering,4.276595744680851,3.3035714285714284,3.1702127659574466,3.65919282511211,0,3.58971811152801,0.003107788273104034,-1.106382978723404,MODERATE,MONITOR
NG-STU-0026,Chemical Engineering,4.74468085106383,4.411764705882353,4.659574468085107,4.64220183486239,0,4.6044672054674125,0.0015533172554838433,-0.08510638297872308,LOW,ROUTINE
NG-STU-0027,Chemical Engineering,4.191489361702128,3.5555555555555554,3.68,3.99551569506726,0,3.8375705731377177,0.0015533172554838433,-0.5114893617021274,MODERATE,MONITOR
NG-STU-0028,Chemical Engineering,3.7872340425531914,3.3636363636363638,2.981132075471698,3.48458149779736,0,3.399604571995728,0.06541112973895864,-0.8061019670814935,MODERATE,MONITOR
NG-STU-0029,Chemical Engineering,3.9361702127659575,2.913793103448276,2.8793103448275863,3.33195020746888,0,3.2775657495070005,0.1452153107203528,-1.0568598679383712,HIGH,PRIORITY
NG-STU-0030,Chemical Engineering,3.4468085106382977,3.2222222222222223,2.5714285714285716,3.28138528138528,0,3.054578706505345,0.6444615595627116,-0.8753799392097261,CRITICAL,URGENT
NG-STU-0031,Chemical Engineering,4.74468085106383,4.705882352941177,4.74468085106383,4.72811059907834,0,4.732968742157531,0.0015533172554838433,0.0,LOW,ROUTINE
NG-STU-0032,Chemical Engineering,4.1063829787234045,3.3684210526315788,3.595744680851064,3.36134453781513,0,3.7279706616301924,0.0015533172554838433,-0.5106382978723407,MODERATE,MONITOR
NG-STU-0033,Chemical Engineering,4.787234042553192,4.627450980392157,4.531914893617022,4.54377880184332,0,4.600576927659876,0.0015533172554838433,-0.25531914893617014,LOW,ROUTINE
NG-STU-0034,Chemical Engineering,2.9574468085106385,1.8727272727272728,2.406779661016949,2.64528301886792,1,2.5642112172806137,0.994443090167902,-0.5506671474936895,CRITICAL,URGENT
NG-STU-0035,Chemical Engineering,2.765957446808511,1.8846153846153846,2.5538461538461537,2.35769230769231,1,2.5986580658668372,0.9892144027204447,-0.2121112929623572,CRITICAL,URGENT
NG-STU-0036,Chemical Engineering,4.042553191489362,3.2363636363636363,3.1296296296296298,3.70305676855895,0,3.4964887170975176,0.008242482344842764,-0.9129235618597322,MODERATE,MONITOR
NG-STU-0037,Chemical Engineering,4.297872340425532,3.6226415094339623,4.212765957446808,4.18721461187215,0,4.12650235550452,0.0015533172554838433,-0.08510638297872397,LOW,ROUTINE
NG-STU-0038,Chemical Engineering,4.851063829787234,4.686274509803922,4.531914893617022,4.59907834101382,0,4.609988427828345,0.0015533172554838433,-0.31914893617021267,MODERATE,MONITOR
